Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-07-20 00:00:00-04:00,299.289309945815,302.73445857993903,298.5351064928291,301.9802551269531,56308800,0.0,0.0,0.0
2020-07-21 00:00:00-04:00,303.9634929033391,304.4104113727864,301.62637755014066,302.6226806640625,57292200,0.0,0.0,0.0
2020-07-22 00:00:00-04:00,302.2595499319699,304.6618505176484,302.14782030760705,304.3452453613281,57792900,0.0,0.0,0.0
2020-07-23 00:00:00-04:00,303.982069674928,304.6897283898605,299.33580032879735,300.7138366699219,75738000,0.0,0.0,0.0
2020-07-24 00:00:00-04:00,298.84234572691753,299.81068802751037,297.25943369578823,298.77716064453125,73766600,0.0,0.0,0.0
2020-07-27 00:00:00-04:00,299.4755496495052,301.13293890023635,298.6747732256388,300.9560241699219,48293000,0.0,0.0,0.0
2020-07-28 00:00:00-04:00,300.2204614436499,301.3471350262564,298.749307057968,299.0472717285156,57495000,0.0,0.0,0.0
2020-07-29 00:00:00-04:00,299.9317737257446,303.2931250209833,299.8945210434383,302.7251281738281,48454200,0.0,0.0,0.0
2020-07-30 00:00:00-04:00,299.72691846881526,302.06403405328876,297.62261083083996,301.64501953125,61861700,0.0,0.0,0.0
2020-07-31 00:00:00-04:00,303.4513978199224,304.13112429544833,299.19618107689314,304.0286865234375,84986800,0.0,0.0,0.0
2020-08-03 00:00:00-04:00,305.70470733228075,306.9151495195356,305.15535105249774,306.142333984375,53077900,0.0,0.0,0.0
2020-08-04 00:00:00-04:00,305.27641860176607,307.32489013671875,305.27641860176607,307.32489013671875,41917900,0.0,0.0,0.0
2020-08-05 00:00:00-04:00,308.6377721826393,309.49441348854435,308.3677399296783,309.2336730957031,42697700,0.0,0.0,0.0
2020-08-06 00:00:00-04:00,308.64705620584135,311.4217701214522,308.3211591685427,311.30072021484375,43679400,0.0,0.0,0.0
2020-08-07 00:00:00-04:00,310.32308049199463,311.8128753331719,309.4105744030987,311.52423095703125,57308300,0.0,0.0,0.0
2020-08-10 00:00:00-04:00,311.98041244824475,312.6414983092965,310.0250588545826,312.4552917480469,44282100,0.0,0.0,0.0
2020-08-11 00:00:00-04:00,313.6471440639934,314.28961783933227,309.14053577795084,309.8760986328125,69601100,0.0,0.0,0.0
2020-08-12 00:00:00-04:00,312.33426643369586,314.9786385014679,312.3063340265369,314.1965026855469,53774400,0.0,0.0,0.0
2020-08-13 00:00:00-04:00,313.4236318971202,314.9506791323378,312.6973609576909,313.62847900390625,41816100,0.0,0.0,0.0
2020-08-14 00:00:00-04:00,313.23747389816054,314.1779123635833,312.5018825712812,313.6378479003906,47260400,0.0,0.0,0.0
2020-08-17 00:00:00-04:00,314.662118203186,315.0345598372833,313.6472026736939,314.6341857910156,35481000,0.0,0.0,0.0
2020-08-18 00:00:00-04:00,315.0345207884622,315.74217969636476,313.42367611169993,315.3138732910156,38733900,0.0,0.0,0.0
2020-08-19 00:00:00-04:00,315.6956513244043,316.2170753042461,313.43304065307547,314.00103759765625,68054200,0.0,0.0,0.0
2020-08-20 00:00:00-04:00,312.2597300176096,315.4627783254969,312.12938826898665,314.9786071777344,42207800,0.0,0.0,0.0
2020-08-21 00:00:00-04:00,314.6434358435749,316.31943703069396,314.29889828306796,316.0959777832031,55106600,0.0,0.0,0.0
2020-08-24 00:00:00-04:00,318.55416064090014,319.373549220361,316.0680909080304,319.299072265625,48588700,0.0,0.0,0.0
2020-08-25 00:00:00-04:00,319.8670559877972,320.50020958739054,318.6938378825997,320.4164123535156,38463400,0.0,0.0,0.0
2020-08-26 00:00:00-04:00,321.01225329959675,323.89869638994253,320.4628970851288,323.6286926269531,50790200,0.0,0.0,0.0
2020-08-27 00:00:00-04:00,324.50401813809793,325.7982576806448,322.6603938431942,324.3363952636719,58034100,0.0,0.0,0.0
2020-08-28 00:00:00-04:00,325.36990612519185,326.5617361382139,324.1687558383631,326.4313659667969,48588900,0.0,0.0,0.0
2020-08-31 00:00:00-04:00,326.21724165855835,327.1017868304171,325.01609131773023,325.2488708496094,66099200,0.0,0.0,0.0
